Team,3PT_Rate_2025,3PT_Rate_2024,Off_Rtg_2025,Def_Rtg_2025,Net_Rtg_2025,Off_Rtg_2024,3PT_Def_Rate_2025
BOS,53.6,47.1,119.5,110.1,9.4,122.2,41.5
GSW,46.9,42.5,114.2,111,3.2,116.9,41.8
BKN,45.8,41.2,108.1,115.4,-7.3,112.4,42.4
CLE,45.7,42.2,121,111.8,9.2,114.7,41.3
CHI,45.7,35.8,113.2,114.8,-1.6,114,41.7
MIN,45.5,38.4,115.7,110.8,5,114.6,40.9
UTA,44.9,40.6,110.2,119.4,-9.2,114.5,44.6
SAS,44.1,40.1,113.5,116.3,-2.8,109.3,42.5
PHX,44,37.8,114.7,117.7,-3,116.8,42.6
WAS,43.5,38.9,105.8,118,-12.2,110.2,42.2
CHA,43,39.1,106.7,115.7,-9.1,108.6,44.9
MIA,42.9,39.4,112.4,112,0.4,113.3,42.8
PHI,42.6,37.3,111,117.3,-6.3,116.2,43.4
LAL,42.5,35.8,115,113.8,1.2,115.4,42.7
MIL,42.4,43,115.1,112.7,2.4,117.6,43.2
OKC,41.9,38.3,119.2,106.6,12.7,118.3,45.2
POR,41.8,37,111,113.7,-2.7,107.6,39.8
ORL,41.1,36.9,108.9,109.1,-0.2,112.9,38.5
ATL,41,40.8,113.7,114.8,-1.1,116.4,41.9
MEM,40.6,42.8,117.2,112.6,4.7,106.8,42.9
IND,40,38,115.4,113.3,2.1,120.5,40.4
DET,39.4,36,114.6,112.5,2.1,109,42.4
SAC,39.1,43.2,115.9,115.3,0.6,116.2,43.5
DAL,38.9,44.1,113.7,115,-1.3,117,38.6
LAC,38.7,38.3,114.3,109.4,4.9,117.9,43.2
NOP,38.5,37.3,109.7,119.1,-9.4,116.5,44.4
HOU,38.4,39.7,114.9,110.3,4.6,113.7,39.1
NYK,38.2,40.4,117.3,113.3,4,117.3,40.8
TOR,37.3,36.9,109.6,113.6,-4.1,111.8,42.7
DEN,35.6,35.2,118.9,115.1,3.8,117.8,41.6
